t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,0.299818518,-0.000000041,-0.000000117,-0.799976235,0.499951150
0.012500,0.299667083,-0.000000077,-0.000000215,-0.799949454,0.499908362
0.015000,0.299501083,-0.000000115,-0.000000322,-0.799919692,0.499861340
0.017500,0.299308598,-0.000000160,-0.000000446,-0.799885451,0.499806895
0.020000,0.299086460,-0.000000212,-0.000000589,-0.799845830,0.499744032
0.022500,0.298833879,-0.000000271,-0.000000751,-0.799800396,0.499672443
0.025000,0.298550732,-0.000000337,-0.000000933,-0.799748932,0.499592036
0.027500,0.298237092,-0.000000410,-0.000001135,-0.799691308,0.499502790
0.030000,0.297893102,-0.000000490,-0.000001357,-0.799627420,0.499404708
0.032500,0.297518934,-0.000000578,-0.000001597,-0.799557168,0.499297801
0.035000,0.297114783,-0.000000672,-0.000001857,-0.799480452,0.499182084
0.037500,0.296680859,-0.000000773,-0.000002136,-0.799397168,0.499057576
0.040000,0.296217394,-0.000000881,-0.000002434,-0.799307206,0.498924298
0.042500,0.295724632,-0.000000996,-0.000002751,-0.799210452,0.498782274
0.045000,0.295202836,-0.000001118,-0.000003086,-0.799106788,0.498631529
0.047500,0.294652287,-0.000001246,-0.000003440,-0.798996092,0.498472093
0.050000,0.294073283,-0.000001381,-0.000003812,-0.798878241,0.498303998
0.052500,0.293298938,-0.000001564,-0.000004308,-0.798693540,0.498071294
0.055000,0.292784326,-0.000001683,-0.000004639,-0.798596240,0.497924057
0.057500,0.291982328,-0.000001871,-0.000005153,-0.798410977,0.497684795
0.060000,0.291426915,-0.000001999,-0.000005510,-0.798304614,0.497525486
0.062500,0.290561153,-0.000002202,-0.000006065,-0.798100441,0.497265975
0.065000,0.289799449,-0.000002379,-0.000006553,-0.797925824,0.497039106
0.067500,0.289022222,-0.000002560,-0.000007051,-0.797749383,0.496808111
0.070000,0.288220545,-0.000002746,-0.000007565,-0.797565562,0.496569308
0.072500,0.287394097,-0.000002937,-0.000008094,-0.797373531,0.496322380
0.075000,0.286543293,-0.000003134,-0.000008639,-0.797173094,0.496067364
0.077500,0.285668629,-0.000003337,-0.000009199,-0.796964140,0.495804338
0.080000,0.284770627,-0.000003544,-0.000009774,-0.796746570,0.495533393
0.082500,0.283849828,-0.000003757,-0.000010363,-0.796520296,0.495254625
0.085000,0.282906792,-0.000003974,-0.000010966,-0.796285237,0.494968137
0.087500,0.281942098,-0.000004196,-0.000011583,-0.796041324,0.494674038
0.090000,0.280956346,-0.000004423,-0.000012212,-0.795788494,0.494372447
0.092500,0.279950154,-0.000004654,-0.000012855,-0.795526699,0.494063488
0.095000,0.278924158,-0.000004890,-0.000013510,-0.795255900,0.493747292
