t,right_ankle_joint
0.000000,0.500000000
0.002500,0.500000000
0.005000,0.500000000
0.007500,0.500000000
0.010000,0.499951150
0.012500,0.499908362
0.015000,0.499861340
0.017500,0.499806895
0.020000,0.499744032
0.022500,0.499672443
0.025000,0.499592036
0.027500,0.499502790
0.030000,0.499404708
0.032500,0.499297801
0.035000,0.499182084
0.037500,0.499057576
0.040000,0.498924298
0.042500,0.498782274
0.045000,0.498631529
0.047500,0.498472093
0.050000,0.498303998
0.052500,0.498071294
0.055000,0.497924057
0.057500,0.497684795
0.060000,0.497525486
0.062500,0.497265975
0.065000,0.497039106
0.067500,0.496808111
0.070000,0.496569308
0.072500,0.496322380
0.075000,0.496067364
0.077500,0.495804338
0.080000,0.495533393
0.082500,0.495254625
0.085000,0.494968137
0.087500,0.494674038
0.090000,0.494372447
0.092500,0.494063488
0.095000,0.493747292
0.097500,0.493424000
0.100000,0.493093759
0.102500,0.492756727
0.105000,0.492413067
0.107500,0.492062954
0.110000,0.491706569
0.112500,0.491344105
0.115000,0.490975762
0.117500,0.490601750
0.120000,0.490222290
0.122500,0.489837609
0.125000,0.489447947
0.127500,0.489053554
0.130000,0.488654688
0.132500,0.488251619
0.135000,0.487844625
0.137500,0.487433995
0.140000,0.487020030
0.142500,0.486603038
0.145000,0.486183338
0.147500,0.485761261
0.150000,0.485337147
0.152500,0.484911343
0.155000,0.484484211
0.157500,0.484056118
0.160000,0.483627443
0.162500,0.483198574
0.165000,0.482769908
0.167500,0.482341849
0.170000,0.481914813
0.172500,0.481489223
0.175000,0.481065507
0.177500,0.480644106
0.180000,0.480225465
0.182500,0.479810035
0.185000,0.479398277
0.187500,0.478990655
0.190000,0.478587640
0.192500,0.478189707
0.195000,0.477797338
0.197500,0.477411015
0.200000,0.477031228
0.202500,0.476658466
0.205000,0.476293222
0.207500,0.475935990
0.210000,0.475587265
0.212500,0.475247543
0.215000,0.474917318
0.217500,0.474597082
0.220000,0.474287327
0.222500,0.473988541
0.225000,0.473772356
0.227500,0.473434948
0.230000,0.473232197
0.232500,0.472923182
0.235000,0.472740476
0.237500,0.472532956
0.240000,0.472326987
0.242500,0.472131411
0.245000,0.471949397
0.247500,0.471782257
0.250000,0.471630688
0.252500,0.471495174
0.255000,0.471376120
0.257500,0.471273894
0.260000,0.471188842
0.262500,0.471121291
0.265000,0.471121291
0.267500,0.471121291
0.270000,0.471055832
0.272500,0.471055832
0.275000,0.471055832
0.277500,0.471055832
0.280000,0.471154786
0.282500,0.471248246
0.285000,0.471353376
0.287500,0.471475666
0.290000,0.471616931
0.292500,0.471777797
0.295000,0.471958492
0.297500,0.472159100
0.300000,0.472379639
0.302500,0.472620091
0.305000,0.472963261
0.307500,0.473186490
0.310000,0.473557622
0.312500,0.473889929
0.315000,0.474235592
0.317500,0.474599878
0.320000,0.474983155
0.322500,0.475385242
0.325000,0.475805877
0.327500,0.476244771
0.330000,0.476701605
0.332500,0.477176038
0.335000,0.477667706
0.337500,0.478176222
0.340000,0.478701175
0.342500,0.479242134
0.345000,0.479798646
0.347500,0.480370237
0.350000,0.480956415
0.352500,0.481556668
0.355000,0.482170465
0.357500,0.482797259
0.360000,0.483436486
0.362500,0.484087567
0.365000,0.484749908
0.367500,0.485422900
0.370000,0.486105923
0.372500,0.486798345
0.375000,0.487499521
0.377500,0.488208798
0.380000,0.488925513
0.382500,0.489648997
0.385000,0.490378571
0.387500,0.491113553
0.390000,0.491853252
0.392500,0.492596976
0.395000,0.493344029
0.397500,0.494093714
0.400000,0.494845330
0.402500,0.495598177
0.405000,0.496351557
0.407500,0.497104772
0.410000,0.497857127
0.412500,0.498607929
0.415000,0.499356492
0.417500,0.500112626
0.420000,0.500973244
0.422500,0.501947701
0.425000,0.503025308
0.427500,0.504198236
0.430000,0.505460764
0.432500,0.506911069
0.435000,0.508247382
0.437500,0.509857510
0.440000,0.511445383
0.442500,0.513099736
0.445000,0.514820151
0.447500,0.516603333
0.450000,0.518445890
0.452500,0.520344415
0.455000,0.522295490
0.457500,0.524295681
0.460000,0.526341542
0.462500,0.528429616
0.465000,0.530556447
0.467500,0.532718577
0.470000,0.534912559
0.472500,0.537134963
0.475000,0.539382380
0.477500,0.541651435
0.480000,0.543938788
0.482500,0.546241143
0.485000,0.548555255
0.487500,0.550877936
0.490000,0.553206062
0.492500,0.555536573
0.495000,0.557866484
0.497500,0.560192885
0.500000,0.562512947
0.502500,0.564823924
0.505000,0.567123155
0.507500,0.569408070
0.510000,0.571676187
0.512500,0.573925117
0.515000,0.576152561
0.517500,0.578356316
0.520000,0.580534271
0.522500,0.582684406
0.525000,0.584804797
0.527500,0.586893609
0.530000,0.588949097
0.532500,0.590969608
0.535000,0.592953574
0.537500,0.594899513
0.540000,0.596806028
0.542500,0.598671802
0.545000,0.599547032
0.547500,0.599613267
0.550000,0.599639535
0.552500,0.599661707
0.555000,0.599682580
0.557500,0.599702383
0.560000,0.599721147
0.562500,0.599738889
0.565000,0.599755621
0.567500,0.599771356
0.570000,0.599786108
0.572500,0.599799887
0.575000,0.599812705
0.577500,0.599824571
0.580000,0.599835497
0.582500,0.599845490
0.585000,0.599854558
0.587500,0.599862710
0.590000,0.599869952
0.592500,0.599876291
0.595000,0.599881731
0.597500,0.599886278
0.600000,0.599889935
0.602500,0.599817762
0.605000,0.599808961
0.607500,0.599803552
0.610000,0.599462758
0.612500,0.599454056
0.615000,0.600000000
0.617500,0.599868178
0.620000,0.599441816
0.622500,0.599831148
0.625000,0.600000000
0.627500,0.600000000
0.630000,0.600000000
0.632500,0.599335042
0.635000,0.599469449
0.637500,0.599540591
0.640000,0.599551591
0.642500,0.599503564
0.645000,0.599397042
0.647500,0.599232399
0.650000,0.599143933
0.652500,0.598965816
0.655000,0.598759443
0.657500,0.598601335
0.660000,0.598388484
0.662500,0.598112627
0.665000,0.597773715
0.667500,0.597372416
0.670000,0.596909465
0.672500,0.596385606
0.675000,0.595801590
0.677500,0.595158176
0.680000,0.594456128
0.682500,0.593696220
0.685000,0.592879235
0.687500,0.592005966
0.690000,0.591077219
0.692500,0.590093816
0.695000,0.589056590
0.697500,0.587966393
0.700000,0.586824096
0.702500,0.585630589
0.705000,0.584386786
0.707500,0.583093625
0.710000,0.581752071
0.712500,0.580363118
0.715000,0.578927793
0.717500,0.577447154
0.720000,0.575922302
0.722500,0.574354372
0.725000,0.572744548
0.727500,0.571094057
0.730000,0.569404176
0.732500,0.567676238
0.735000,0.565911629
0.737500,0.564111798
0.740000,0.562278258
0.742500,0.560452705
0.745000,0.558698916
0.747500,0.556813157
0.750000,0.555037716
0.752500,0.553232087
0.755000,0.551394317
0.757500,0.549526629
0.760000,0.547631455
0.762500,0.545711318
0.765000,0.543768841
0.767500,0.541806748
0.770000,0.539827866
0.772500,0.537835136
0.775000,0.535831612
0.777500,0.533820465
0.780000,0.531804991
0.782500,0.529788613
0.785000,0.527774881
0.787500,0.525767480
0.790000,0.523770233
0.792500,0.521787100
0.795000,0.519822187
0.797500,0.517879748
0.800000,0.515964193
0.802500,0.514080090
0.805000,0.512232182
0.807500,0.510425398
0.810000,0.508664873
0.812500,0.506955981
0.815000,0.505304379
0.817500,0.503716079
0.820000,0.502197554
0.822500,0.500755929
0.825000,0.499399300
0.827500,0.498137373
0.830000,0.496982952
0.832500,0.495957025
0.835000,0.495065053
0.837500,0.494161055
0.840000,0.493224426
0.842500,0.492255102
0.845000,0.491253752
0.847500,0.490221072
0.850000,0.489157767
0.852500,0.488064549
0.855000,0.486942139
0.857500,0.485791264
0.860000,0.484612662
0.862500,0.483407081
0.865000,0.482175280
0.867500,0.480918028
0.870000,0.479636108
0.872500,0.478330315
0.875000,0.477001459
0.877500,0.475650364
0.880000,0.474277870
0.882500,0.472884833
0.885000,0.471472126
0.887500,0.470040640
0.890000,0.468591286
0.892500,0.467124992
0.895000,0.465642710
0.897500,0.464145410
0.900000,0.462634087
0.902500,0.461109755
0.905000,0.459573455
0.907500,0.458026250
0.910000,0.456469229
0.912500,0.454903506
0.915000,0.453330219
0.917500,0.451750536
0.920000,0.450165649
0.922500,0.448576777
0.925000,0.446985169
0.927500,0.445392098
0.930000,0.443798868
0.932500,0.442206806
0.935000,0.440617270
0.937500,0.439031645
0.940000,0.437451339
0.942500,0.435877789
0.945000,0.434312456
0.947500,0.432756824
0.950000,0.431212404
0.952500,0.429680723
0.955000,0.428163334
0.957500,0.426661805
0.960000,0.425177724
0.962500,0.423712690
0.965000,0.422268319
0.967500,0.420846236
0.970000,0.419448073
0.972500,0.418075468
0.975000,0.416730062
0.977500,0.415540955
0.980000,0.414158105
0.982500,0.413023484
0.985000,0.411839828
0.987500,0.410681027
0.990000,0.409557321
0.992500,0.408471276
0.995000,0.407424496
0.997500,0.406418445
1.000000,0.405454537
1.002500,0.404534146
1.005000,0.403658606
1.007500,0.402829204
1.010000,0.402047177
1.012500,0.401313711
1.015000,0.400629933
1.017500,0.399996909
1.020000,0.399415642
1.022500,0.398887068
1.025000,0.398412050
1.027500,0.397991380
1.030000,0.397738059
1.032500,0.397476292
1.035000,0.397247235
1.037500,0.397065517
1.040000,0.396936475
1.042500,0.396936475
1.045000,0.396936475
1.047500,0.396936475
1.050000,0.397060320
1.052500,0.397218591
1.055000,0.397425368
1.057500,0.397685237
