t,left_hip2_joint
0.000000,0.000000000
0.002500,0.000000000
0.005000,0.000000000
0.007500,0.000000000
0.010000,-0.000000045
0.012500,-0.000000086
0.015000,-0.000000132
0.017500,-0.000000187
0.020000,-0.000000252
0.022500,-0.000000327
0.025000,-0.000000413
0.027500,-0.000000511
0.030000,-0.000000620
0.032500,-0.000000742
0.035000,-0.000000875
0.037500,-0.000001021
0.040000,-0.000001179
0.042500,-0.000001351
0.045000,-0.000001535
0.047500,-0.000001800
0.050000,-0.000001967
0.052500,-0.000002248
0.055000,-0.000002435
0.057500,-0.000002750
0.060000,-0.000003028
0.062500,-0.000003316
0.065000,-0.000003616
0.067500,-0.000003931
0.070000,-0.000004261
0.072500,-0.000004605
0.075000,-0.000004963
0.077500,-0.000005336
0.080000,-0.000005723
0.082500,-0.000006125
0.085000,-0.000006541
0.087500,-0.000006971
0.090000,-0.000007415
0.092500,-0.000007874
0.095000,-0.000008346
0.097500,-0.000008832
0.100000,-0.000009332
0.102500,-0.000009844
0.105000,-0.000010370
0.107500,-0.000010909
0.110000,-0.000011460
0.112500,-0.000012023
0.115000,-0.000012599
0.117500,-0.000013185
0.120000,-0.000013783
0.122500,-0.000014392
0.125000,-0.000015010
0.127500,-0.000015638
0.130000,-0.000016276
0.132500,-0.000016922
0.135000,-0.000017576
0.137500,-0.000018238
0.140000,-0.000018906
0.142500,-0.000019580
0.145000,-0.000020260
0.147500,-0.000020945
0.150000,-0.000021634
0.152500,-0.000022325
0.155000,-0.000023020
0.157500,-0.000023715
0.160000,-0.000024412
0.162500,-0.000025108
0.165000,-0.000025804
0.167500,-0.000026497
0.170000,-0.000027188
0.172500,-0.000027875
0.175000,-0.000028557
0.177500,-0.000029233
0.180000,-0.000029903
0.182500,-0.000030564
0.185000,-0.000031217
0.187500,-0.000031861
0.190000,-0.000032493
0.192500,-0.000033114
0.195000,-0.000033722
0.197500,-0.000034316
0.200000,-0.000034895
0.202500,-0.000035459
0.205000,-0.000036005
0.207500,-0.000036534
0.210000,-0.000037044
0.212500,-0.000037534
0.215000,-0.000038003
0.217500,-0.000038451
0.220000,-0.000038876
0.222500,-0.000039278
0.225000,-0.000039655
0.227500,-0.000040008
0.230000,-0.000040335
0.232500,-0.000040635
0.235000,-0.000040835
0.237500,-0.000041132
0.240000,-0.000041295
0.242500,-0.000041463
0.245000,-0.000041613
0.247500,-0.000041737
0.250000,-0.000041831
