t,left_thigh_joint
0.000000,0.000000000
0.002500,0.000000000
0.005000,0.000000000
0.007500,0.000000000
0.010000,0.000000000
0.012500,0.000000000
0.015000,0.000000000
0.017500,0.000000099
0.020000,0.000000099
0.022500,0.000000208
0.025000,0.000000208
0.027500,0.000000341
0.030000,0.000000447
0.032500,0.000000547
0.035000,0.000000651
0.037500,0.000000761
0.040000,0.000000879
0.042500,0.000001006
0.045000,0.000001142
0.047500,0.000001288
0.050000,0.000001443
0.052500,0.000001608
0.055000,0.000001782
0.057500,0.000001966
0.060000,0.000002160
0.062500,0.000002363
0.065000,0.000002576
0.067500,0.000002799
0.070000,0.000003032
0.072500,0.000003275
0.075000,0.000003527
0.077500,0.000003789
0.080000,0.000004061
0.082500,0.000004342
0.085000,0.000004633
0.087500,0.000005058
0.090000,0.000005295
0.092500,0.000005583
0.095000,0.000006030
0.097500,0.000006285
0.100000,0.000006727
0.102500,0.000006992
0.105000,0.000007453
0.107500,0.000007730
0.110000,0.000008212
0.112500,0.000008501
0.115000,0.000009003
0.117500,0.000009304
0.120000,0.000009825
0.122500,0.000010265
0.125000,0.000010570
0.127500,0.000011111
0.130000,0.000011571
0.132500,0.000012023
0.135000,0.000012477
0.137500,0.000012937
0.140000,0.000013402
0.142500,0.000013872
0.145000,0.000014346
0.147500,0.000014825
0.150000,0.000015309
0.152500,0.000015795
0.155000,0.000016286
0.157500,0.000016779
0.160000,0.000017275
0.162500,0.000017773
0.165000,0.000018274
0.167500,0.000018776
0.170000,0.000019280
0.172500,0.000019784
0.175000,0.000020289
0.177500,0.000020795
0.180000,0.000021300
0.182500,0.000021805
0.185000,0.000022309
0.187500,0.000022811
0.190000,0.000023312
0.192500,0.000023811
0.195000,0.000024307
0.197500,0.000024801
0.200000,0.000025291
0.202500,0.000025778
0.205000,0.000026261
0.207500,0.000026740
0.210000,0.000027213
0.212500,0.000027682
0.215000,0.000028145
0.217500,0.000028602
0.220000,0.000029052
0.222500,0.000029365
0.225000,0.000029908
0.227500,0.000030356
0.230000,0.000030655
0.232500,0.000031170
0.235000,0.000031467
0.237500,0.000031967
0.240000,0.000032252
0.242500,0.000032728
0.245000,0.000032998
0.247500,0.000033450
0.250000,0.000033704
0.252500,0.000034003
0.255000,0.000034443
0.257500,0.000034676
0.260000,0.000034945
0.262500,0.000035222
0.265000,0.000035494
0.267500,0.000035756
0.270000,0.000036008
0.272500,0.000036246
