t,left_knee_joint
0.000000,-0.800000000
0.002500,-0.800000000
0.005000,-0.800000000
0.007500,-0.800000000
0.010000,-0.800000000
0.012500,-0.800000000
0.015000,-0.800000000
0.017500,-0.800057716
0.020000,-0.800057716
0.022500,-0.800134604
0.025000,-0.800134604
0.027500,-0.800240929
0.030000,-0.800333034
0.032500,-0.800424950
0.035000,-0.800523294
0.037500,-0.800631317
0.040000,-0.800750737
0.042500,-0.800882576
0.045000,-0.801027526
0.047500,-0.801186119
0.050000,-0.801358803
0.052500,-0.801545972
0.055000,-0.801747982
0.057500,-0.801965158
0.060000,-0.802197794
0.062500,-0.802446157
0.065000,-0.802710485
0.067500,-0.802990991
0.070000,-0.803287856
0.072500,-0.803601237
0.075000,-0.803931262
0.077500,-0.804278029
0.080000,-0.804641610
0.082500,-0.805022049
0.085000,-0.805419362
0.087500,-0.806013949
0.090000,-0.806342988
0.092500,-0.806746364
0.095000,-0.807385198
0.097500,-0.807748226
0.100000,-0.808388323
0.102500,-0.808769846
0.105000,-0.809447313
0.107500,-0.809851585
0.110000,-0.810568250
0.112500,-0.810994890
0.115000,-0.811749535
0.117500,-0.812197647
0.120000,-0.812988573
0.122500,-0.813660442
0.125000,-0.814120812
0.127500,-0.814951314
0.130000,-0.815661543
0.132500,-0.816358742
0.135000,-0.817062653
0.137500,-0.817776545
0.140000,-0.818500584
0.142500,-0.819234342
0.145000,-0.819977266
0.147500,-0.820728763
0.150000,-0.821488225
0.152500,-0.822255022
0.155000,-0.823028513
0.157500,-0.823808040
0.160000,-0.824592933
0.162500,-0.825382511
0.165000,-0.826176078
0.167500,-0.826972929
0.170000,-0.827772348
0.172500,-0.828573613
0.175000,-0.829375989
0.177500,-0.830178736
0.180000,-0.830981108
0.182500,-0.831782352
0.185000,-0.832581711
0.187500,-0.833378424
0.190000,-0.834171726
0.192500,-0.834960851
0.195000,-0.835745030
0.197500,-0.836523495
0.200000,-0.837295479
0.202500,-0.838060213
0.205000,-0.838816934
0.207500,-0.839564880
0.210000,-0.840303292
0.212500,-0.841031417
0.215000,-0.841748507
0.217500,-0.842453820
0.220000,-0.843146620
0.222500,-0.843620941
0.225000,-0.844452841
0.227500,-0.845134676
0.230000,-0.845582241
0.232500,-0.846359714
0.235000,-0.846800864
0.237500,-0.847546340
0.240000,-0.847962980
0.242500,-0.848663213
0.245000,-0.849052184
0.247500,-0.849703218
0.250000,-0.850062629
0.252500,-0.850480300
0.255000,-0.851097344
0.257500,-0.851415173
0.260000,-0.851776819
0.262500,-0.852144133
0.265000,-0.852500356
0.267500,-0.852837996
0.270000,-0.853153575
0.272500,-0.853445358
