t,left_ankle_joint
0.000000,0.500000000
0.002500,0.500000000
0.005000,0.500000000
0.007500,0.500000000
0.010000,0.500065408
0.012500,0.500127832
0.015000,0.500201623
0.017500,0.500292173
0.020000,0.500402038
0.022500,0.500532828
0.025000,0.500685800
0.027500,0.500862048
0.030000,0.501062563
0.032500,0.501288252
0.035000,0.501539945
0.037500,0.501818396
0.040000,0.502124280
0.042500,0.502458198
0.045000,0.502820673
0.047500,0.503337564
0.050000,0.503673153
0.052500,0.504231721
0.055000,0.504611104
0.057500,0.505241879
0.060000,0.505803833
0.062500,0.506385453
0.065000,0.506995735
0.067500,0.507635400
0.070000,0.508304237
0.072500,0.509001867
0.075000,0.509727827
0.077500,0.510481579
0.080000,0.511262511
0.082500,0.512069944
0.085000,0.512903128
0.087500,0.513761251
0.090000,0.514643437
0.092500,0.515548749
0.095000,0.516476196
0.097500,0.517424733
0.100000,0.518393263
0.102500,0.519380643
0.105000,0.520385688
0.107500,0.521407172
0.110000,0.522443831
0.112500,0.523494371
0.115000,0.524557467
0.117500,0.525631769
0.120000,0.526715903
0.122500,0.527808479
0.125000,0.528908090
0.127500,0.530013317
0.130000,0.531122734
0.132500,0.532234908
0.135000,0.533348405
0.137500,0.534461789
0.140000,0.535573631
0.142500,0.536682506
0.145000,0.537786999
0.147500,0.538885706
0.150000,0.539977235
0.152500,0.541060214
0.155000,0.542133284
0.157500,0.543195110
0.160000,0.544244376
0.162500,0.545279790
0.165000,0.546300085
0.167500,0.547304021
0.170000,0.548290382
0.172500,0.549257984
0.175000,0.550205670
0.177500,0.551132315
0.180000,0.552036825
0.182500,0.552918135
0.185000,0.553775214
0.187500,0.554607065
0.190000,0.555412721
0.192500,0.556191250
0.195000,0.556941753
0.197500,0.557663364
0.200000,0.558355252
0.202500,0.559016618
0.205000,0.559646696
0.207500,0.560244755
0.210000,0.560810096
0.212500,0.561342055
0.215000,0.561839998
0.217500,0.562303325
0.220000,0.562731469
0.222500,0.563123893
0.225000,0.563480095
0.227500,0.563799601
0.230000,0.564081971
0.232500,0.564326793
0.235000,0.564501319
0.237500,0.564725174
0.240000,0.564843775
0.242500,0.564959234
0.245000,0.565045633
0.247500,0.565094968
0.250000,0.565104649
0.252500,0.565073746
0.255000,0.565001851
0.257500,0.564888740
0.260000,0.564734266
0.262500,0.564538330
0.265000,0.564300869
0.267500,0.564021856
0.270000,0.563701296
0.272500,0.563339231
0.275000,0.562935735
0.277500,0.562490920
0.280000,0.562004932
0.282500,0.561477954
0.285000,0.560910207
0.287500,0.560301951
0.290000,0.559653483
0.292500,0.558965144
0.295000,0.558237313
0.297500,0.557228786
0.300000,0.556586346
0.302500,0.555545971
0.305000,0.554633743
0.307500,0.553702265
0.310000,0.552737797
0.312500,0.551739612
0.315000,0.550708298
0.317500,0.549644616
0.320000,0.548549397
0.322500,0.547423524
0.325000,0.546267940
0.327500,0.545083649
0.330000,0.543871715
0.332500,0.542633269
0.335000,0.541369507
0.337500,0.540081696
0.340000,0.538771172
0.342500,0.537439351
0.345000,0.536087720
0.347500,0.534717849
0.350000,0.533331391
0.352500,0.531930081
0.355000,0.530515745
0.357500,0.529090297
0.360000,0.527655745
0.362500,0.526214192
0.365000,0.524767840
0.367500,0.523318995
0.370000,0.521870062
0.372500,0.520423560
0.375000,0.518982116
0.377500,0.517548474
0.380000,0.516125497
0.382500,0.514716178
0.385000,0.513323639
0.387500,0.511951148
0.390000,0.510602128
0.392500,0.509280173
0.395000,0.507989074
0.397500,0.506732844
0.400000,0.505515776
0.402500,0.504342505
0.405000,0.503218126
0.407500,0.502148384
0.410000,0.501140027
0.412500,0.500201561
0.415000,0.499345379
0.417500,0.498592713
0.420000,0.497867373
0.422500,0.497124848
0.425000,0.496360215
0.427500,0.495572820
0.430000,0.494762483
0.432500,0.493929083
0.435000,0.493072524
0.437500,0.492192723
0.440000,0.491230782
0.442500,0.490369031
0.445000,0.489362519
0.447500,0.488457149
0.450000,0.487399001
0.452500,0.486384589
0.455000,0.485348251
0.457500,0.484287803
0.460000,0.483203280
0.462500,0.482094814
0.465000,0.480962559
0.467500,0.479806687
0.470000,0.478627391
0.472500,0.477424886
0.475000,0.476199410
0.477500,0.474951220
0.480000,0.473680602
0.482500,0.472387863
0.485000,0.471073337
0.487500,0.469737384
0.490000,0.468380392
0.492500,0.467002776
0.495000,0.465604983
0.497500,0.464187488
0.500000,0.462750799
0.502500,0.461295456
0.505000,0.459822032
0.507500,0.458331136
0.510000,0.456823412
0.512500,0.455299541
0.515000,0.453760242
0.517500,0.452206274
0.520000,0.450638436
0.522500,0.449057567
0.525000,0.447464551
0.527500,0.445860312
0.530000,0.444245823
0.532500,0.442622100
0.535000,0.440990206
0.537500,0.439351250
0.540000,0.437706393
0.542500,0.436056841
0.545000,0.434403852
0.547500,0.432748733
0.550000,0.431092843
0.552500,0.429437591
0.555000,0.427784436
0.557500,0.426134889
0.560000,0.424490512
0.562500,0.422852916
0.565000,0.421223764
0.567500,0.419604766
0.570000,0.417997679
0.572500,0.416404308
0.575000,0.414826502
0.577500,0.413266153
0.580000,0.411725193
0.582500,0.410205594
0.585000,0.408709362
0.587500,0.407238533
0.590000,0.405795175
0.592500,0.404381380
0.595000,0.402999259
0.597500,0.401650940
0.600000,0.400338565
0.602500,0.399757138
0.605000,0.399208095
0.607500,0.398710062
0.610000,0.398266020
0.612500,0.397876971
0.615000,0.397648459
0.617500,0.397417848
0.620000,0.397222378
0.622500,0.397075271
0.625000,0.397075271
0.627500,0.397075271
0.630000,0.397075271
0.632500,0.397143510
0.635000,0.397269200
0.637500,0.397451428
0.640000,0.397689631
0.642500,0.397983380
0.645000,0.398332252
0.647500,0.398735779
0.650000,0.399334324
0.652500,0.399736398
0.655000,0.400429775
0.657500,0.401061562
0.660000,0.401732845
0.662500,0.402454941
0.665000,0.403228327
0.667500,0.404052098
0.670000,0.404925125
0.672500,0.405846201
0.675000,0.406814063
0.677500,0.407827396
0.680000,0.408884838
0.682500,0.409984982
0.685000,0.411126384
0.687500,0.412307562
0.690000,0.413527002
0.692500,0.414783164
0.695000,0.416074481
0.697500,0.417399365
0.700000,0.418756213
0.702500,0.420143405
0.705000,0.421559314
0.707500,0.423002303
0.710000,0.424470734
0.712500,0.425962966
0.715000,0.427477360
0.717500,0.429012285
0.720000,0.430566115
0.722500,0.432137236
0.725000,0.433724044
0.727500,0.435324954
0.730000,0.436938396
0.732500,0.438562818
0.735000,0.440196690
0.737500,0.441838507
0.740000,0.443486784
0.742500,0.445140064
0.745000,0.446796917
0.747500,0.448455941
0.750000,0.450115764
0.752500,0.451936966
0.755000,0.453479682
0.757500,0.455279987
0.760000,0.456814760
0.762500,0.458602087
0.765000,0.460272415
0.767500,0.461929335
0.770000,0.463575446
0.772500,0.465209831
0.775000,0.466831481
0.777500,0.468439415
0.780000,0.470032690
0.782500,0.471610399
0.785000,0.473171667
0.787500,0.474715659
0.790000,0.476241570
0.792500,0.477748633
0.795000,0.479236115
0.797500,0.480703315
0.800000,0.482149568
0.802500,0.483574240
0.805000,0.484976732
0.807500,0.486356477
0.810000,0.487712937
0.812500,0.489045611
0.815000,0.490354023
0.817500,0.491637732
0.820000,0.492896325
0.822500,0.494129419
0.825000,0.495336661
0.827500,0.496517724
0.830000,0.497672314
0.832500,0.498800160
0.835000,0.499957681
0.837500,0.501271117
0.840000,0.502715965
0.842500,0.504275026
0.845000,0.505936823
0.847500,0.507692417
0.850000,0.509534215
0.852500,0.511455431
0.855000,0.513449808
0.857500,0.515511457
0.860000,0.517634763
0.862500,0.519814322
0.865000,0.522044909
0.867500,0.524321447
0.870000,0.526638999
0.872500,0.528992756
0.875000,0.531378034
0.877500,0.533790273
0.880000,0.536225035
0.882500,0.538678006
0.885000,0.541145002
0.887500,0.543621964
0.890000,0.546104966
0.892500,0.548590213
0.895000,0.551074047
0.897500,0.553552945
0.900000,0.556023522
0.902500,0.558482529
0.905000,0.560926857
0.907500,0.563353535
0.910000,0.565759729
0.912500,0.568142740
0.915000,0.570500005
0.917500,0.572829094
0.920000,0.575127707
0.922500,0.577393672
0.925000,0.579624943
0.927500,0.581819598
0.930000,0.583975833
0.932500,0.586091958
0.935000,0.588166400
0.937500,0.590197691
0.940000,0.592184470
0.942500,0.594125477
0.945000,0.596019550
0.947500,0.597865619
0.950000,0.599662706
0.952500,0.599598365
0.955000,0.599618285
0.957500,0.599637938
0.960000,0.599656549
0.962500,0.599674076
0.965000,0.599690534
0.967500,0.599705942
0.970000,0.599720318
0.972500,0.599733679
0.975000,0.599746041
0.977500,0.599757420
0.980000,0.599767830
0.982500,0.599777285
0.985000,0.599785798
0.987500,0.599793381
0.990000,0.599800046
0.992500,0.599805804
0.995000,0.599810664
0.997500,0.599814636
1.000000,0.599817728
1.002500,0.599819948
1.005000,0.599821303
1.007500,0.599821800
1.010000,0.599821444
1.012500,0.599820240
1.015000,0.599818194
1.017500,0.599815308
1.020000,0.599811586
1.022500,0.599807030
1.025000,0.599801643
1.027500,0.599460861
1.030000,0.599451905
1.032500,0.600000000
1.035000,0.599856749
1.037500,0.600000000
1.040000,0.599463485
1.042500,0.599811896
1.045000,0.599811896
1.047500,0.599811896
1.050000,0.599904884
1.052500,0.599987349
1.055000,0.600000000
1.057500,0.599254513
