t,right_hip2_joint
0.000000,0.000000000
0.002500,0.000000000
0.005000,0.000000000
0.007500,0.000000000
0.010000,-0.000000041
0.012500,-0.000000077
0.015000,-0.000000115
0.017500,-0.000000160
0.020000,-0.000000212
0.022500,-0.000000271
0.025000,-0.000000337
0.027500,-0.000000410
0.030000,-0.000000490
0.032500,-0.000000578
0.035000,-0.000000672
0.037500,-0.000000773
0.040000,-0.000000881
0.042500,-0.000000996
0.045000,-0.000001118
0.047500,-0.000001246
0.050000,-0.000001381
0.052500,-0.000001564
0.055000,-0.000001683
0.057500,-0.000001871
0.060000,-0.000001999
0.062500,-0.000002202
0.065000,-0.000002379
0.067500,-0.000002560
0.070000,-0.000002746
0.072500,-0.000002937
0.075000,-0.000003134
0.077500,-0.000003337
0.080000,-0.000003544
0.082500,-0.000003757
0.085000,-0.000003974
0.087500,-0.000004196
0.090000,-0.000004423
0.092500,-0.000004654
0.095000,-0.000004890
0.097500,-0.000005129
0.100000,-0.000005373
0.102500,-0.000005620
0.105000,-0.000005870
0.107500,-0.000006124
0.110000,-0.000006381
0.112500,-0.000006641
0.115000,-0.000006904
0.117500,-0.000007170
0.120000,-0.000007437
0.122500,-0.000007707
0.125000,-0.000007979
0.127500,-0.000008252
0.130000,-0.000008527
0.132500,-0.000008803
0.135000,-0.000009080
0.137500,-0.000009358
0.140000,-0.000009637
0.142500,-0.000009915
0.145000,-0.000010194
0.147500,-0.000010473
0.150000,-0.000010751
0.152500,-0.000011029
0.155000,-0.000011305
0.157500,-0.000011581
0.160000,-0.000011855
0.162500,-0.000012128
0.165000,-0.000012399
0.167500,-0.000012668
0.170000,-0.000012934
0.172500,-0.000013198
0.175000,-0.000013459
0.177500,-0.000013717
0.180000,-0.000013971
0.182500,-0.000014223
0.185000,-0.000014470
0.187500,-0.000014713
0.190000,-0.000014953
0.192500,-0.000015187
0.195000,-0.000015417
0.197500,-0.000015642
0.200000,-0.000015862
0.202500,-0.000016077
0.205000,-0.000016286
0.207500,-0.000016489
0.210000,-0.000016687
0.212500,-0.000016878
0.215000,-0.000017062
0.217500,-0.000017240
0.220000,-0.000017412
0.222500,-0.000017576
0.225000,-0.000017697
0.227500,-0.000017881
0.230000,-0.000017993
0.232500,-0.000018159
0.235000,-0.000018259
0.237500,-0.000018373
0.240000,-0.000018484
0.242500,-0.000018590
0.245000,-0.000018687
0.247500,-0.000018777
0.250000,-0.000018857
