t,right_thigh_joint
0.000000,0.000000000
0.002500,0.000000000
0.005000,0.000000000
0.007500,0.000000000
0.010000,0.000000000
0.012500,0.000000000
0.015000,0.000000000
0.017500,-0.000000087
0.020000,-0.000000087
0.022500,-0.000000180
0.025000,-0.000000180
0.027500,-0.000000289
0.030000,-0.000000374
0.032500,-0.000000453
0.035000,-0.000000532
0.037500,-0.000000616
0.040000,-0.000000705
0.042500,-0.000000799
0.045000,-0.000000898
0.047500,-0.000001003
0.050000,-0.000001114
0.052500,-0.000001230
0.055000,-0.000001352
0.057500,-0.000001479
0.060000,-0.000001611
0.062500,-0.000001749
0.065000,-0.000001892
0.067500,-0.000002040
0.070000,-0.000002193
0.072500,-0.000002352
0.075000,-0.000002515
0.077500,-0.000002683
0.080000,-0.000002856
0.082500,-0.000003034
0.085000,-0.000003217
0.087500,-0.000003404
0.090000,-0.000003595
0.092500,-0.000003871
0.095000,-0.000004024
0.097500,-0.000004209
0.100000,-0.000004492
0.102500,-0.000004653
0.105000,-0.000004928
0.107500,-0.000005092
0.110000,-0.000005376
0.112500,-0.000005545
0.115000,-0.000005837
0.117500,-0.000006012
0.120000,-0.000006312
0.122500,-0.000006491
0.125000,-0.000006799
0.127500,-0.000006983
0.130000,-0.000007298
0.132500,-0.000007485
0.135000,-0.000007807
0.137500,-0.000007998
0.140000,-0.000008325
0.142500,-0.000008519
0.145000,-0.000008851
0.147500,-0.000009128
0.150000,-0.000009320
0.152500,-0.000009654
0.155000,-0.000009935
0.157500,-0.000010129
0.160000,-0.000010468
0.162500,-0.000010753
0.165000,-0.000011029
0.167500,-0.000011304
0.170000,-0.000011579
0.172500,-0.000011855
0.175000,-0.000012131
0.177500,-0.000012406
0.180000,-0.000012602
0.182500,-0.000012944
0.185000,-0.000013230
0.187500,-0.000013426
0.190000,-0.000013766
0.192500,-0.000014049
0.195000,-0.000014243
0.197500,-0.000014580
0.200000,-0.000014859
0.202500,-0.000015050
0.205000,-0.000015380
0.207500,-0.000015575
0.210000,-0.000015904
0.212500,-0.000016096
0.215000,-0.000016419
0.217500,-0.000016608
0.220000,-0.000016924
0.222500,-0.000017108
0.225000,-0.000017418
0.227500,-0.000017597
0.230000,-0.000017898
0.232500,-0.000018072
0.235000,-0.000018364
0.237500,-0.000018532
0.240000,-0.000018814
0.242500,-0.000018976
0.245000,-0.000019169
0.247500,-0.000019454
0.250000,-0.000019608
