t,right_knee_joint
0.000000,-0.800000000
0.002500,-0.800000000
0.005000,-0.800000000
0.007500,-0.800000000
0.010000,-0.800000000
0.012500,-0.800000000
0.015000,-0.800000000
0.017500,-0.799978228
0.020000,-0.799978228
0.022500,-0.799953077
0.025000,-0.799953077
0.027500,-0.799922817
0.030000,-0.799897608
0.032500,-0.799874110
0.035000,-0.799850553
0.037500,-0.799826048
0.040000,-0.799800157
0.042500,-0.799772669
0.045000,-0.799743484
0.047500,-0.799712553
0.050000,-0.799679851
0.052500,-0.799645365
0.055000,-0.799609088
0.057500,-0.799571015
0.060000,-0.799531141
0.062500,-0.799489463
0.065000,-0.799445979
0.067500,-0.799400686
0.070000,-0.799353582
0.072500,-0.799304667
0.075000,-0.799253939
0.077500,-0.799201398
0.080000,-0.799147045
0.082500,-0.799090880
0.085000,-0.799032906
0.087500,-0.798973125
0.090000,-0.798911541
0.092500,-0.798817318
0.095000,-0.798768255
0.097500,-0.798709093
0.100000,-0.798612414
0.102500,-0.798560166
0.105000,-0.798465835
0.107500,-0.798412108
0.110000,-0.798314035
0.112500,-0.798257924
0.115000,-0.798155544
0.117500,-0.798097002
0.120000,-0.797990345
0.122500,-0.797929415
0.125000,-0.797818580
0.127500,-0.797755324
0.130000,-0.797640434
0.132500,-0.797574922
0.135000,-0.797456116
0.137500,-0.797388432
0.140000,-0.797265869
0.142500,-0.797196105
0.145000,-0.797069963
0.147500,-0.796963799
0.150000,-0.796894435
0.152500,-0.796765565
0.155000,-0.796655893
0.157500,-0.796584066
0.160000,-0.796450838
0.162500,-0.796337653
0.165000,-0.796228203
0.167500,-0.796118810
0.170000,-0.796008728
0.172500,-0.795897852
0.175000,-0.795786208
0.177500,-0.795673853
0.180000,-0.795597306
0.182500,-0.795455196
0.185000,-0.795334831
0.187500,-0.795256292
0.190000,-0.795111900
0.192500,-0.794990259
0.195000,-0.794911058
0.197500,-0.794765812
0.200000,-0.794643743
0.202500,-0.794564385
0.205000,-0.794419202
0.207500,-0.794336531
0.210000,-0.794189563
0.212500,-0.794106995
0.215000,-0.793960840
0.217500,-0.793878942
0.220000,-0.793734269
0.222500,-0.793653338
0.225000,-0.793510643
0.227500,-0.793430957
0.230000,-0.793290732
0.232500,-0.793212572
0.235000,-0.793075316
0.237500,-0.792998970
0.240000,-0.792865190
0.242500,-0.792790946
0.245000,-0.792702586
0.247500,-0.792564461
0.250000,-0.792492391
0.252500,-0.792408027
0.255000,-0.792318979
0.257500,-0.792228915
0.260000,-0.792139607
0.262500,-0.792051931
0.265000,-0.791966342
0.267500,-0.791883102
0.270000,-0.791802382
0.272500,-0.791724313
