cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,4,-1.0471923510379084,-1.0327840835129627,0.04257332071901487,-1.5491195410016134,22.0,1771020579531527442,1771020579532986525
1,4,-1.0447320171656644,-1.0324005766122895,0.08789330729087275,-1.435590685750907,22.0,1771020579534011789,1771020579535178857
2,4,-1.0422644691593093,-1.0327840835129627,-0.03433332316049753,-1.4502395702993853,22.0,1771020579536513610,1771020579537646979
3,4,-1.0397972874229247,-1.0324005766122895,0.0489822077089741,-1.2341685232093313,22.0,1771020579539010592,1771020579540035455
4,4,-1.0373301152273202,-1.0327840835129627,0.016479995117038015,-1.1389507736442095,22.0,1771020579541507364,1771020579542592395
5,4,-1.0348631504998134,-1.0327840835129627,0.0650044251838755,-1.0620441297646988,22.0,1771020579544013911,1771020579545136277
6,4,-1.0323959280514292,-1.0324005766122895,0.127262184514908,-1.0803552354502965,22.0,1771020579546522258,1771020579547781166
7,4,-1.0299296778689653,-1.0324005766122895,-0.02426221503341708,-0.9448530533768729,22.0,1771020579549014152,1771020579550052457
8,4,-1.0274634838174486,-1.0320170697116162,0.10711996826075043,-0.9155552842799164,22.0,1771020579551513388,1771020579552564993
9,4,-1.0249967418911985,-1.0320170697116162,0.01785332804345785,-0.7873775444807318,22.0,1771020579554019741,1771020579555242047
10,4,-1.0225317143666344,-1.0316335628109432,0.04806665242469421,-0.7544175542466558,22.0,1771020579556511559,1771020579557580085
11,4,-1.02006642613581,-1.03125005591027,0.14511551255836586,-0.6884975737784904,22.0,1771020579559024745,1771020579560354510
12,4,-1.0176014528089958,-1.0308665490095967,0.15198217719046503,-0.6079287087618601,22.0,1771020579561511926,1771020579562783412
13,4,-1.0151369428586503,-1.0304830421089235,0.15518662068544464,-0.509048738059632,22.0,1771020579564024976,1771020579565307148
14,4,-1.01267321317577,-1.0300995352082503,0.2861110263374722,-0.4028443250831648,22.0,1771020579566510727,1771020579567581352
15,4,-1.0102098582098737,-1.029716028307577,0.2238532670064397,-0.351573229163491,22.0,1771020579569024564,1771020579570423918
16,4,-1.0077468165691017,-1.0289490145062308,0.1808221686452849,-0.24903103732414333,22.0,1771020579571513456,1771020579572701722
17,4,-1.0052847025017977,-1.0285655076055575,0.28336436048463254,-0.16479995117038015,22.0,1771020579574024591,1771020579575420118
18,4,-1.0028229659987813,-1.027798493804211,0.26001770073549535,-0.06591998046815206,22.0,1771020579576512935,1771020579577629332
19,4,-1.000362188531297,-1.0270314800028646,0.3419598986785488,-0.007324442274239118,22.0,1771020579579024143,1771020579580259259
20,4,-0.9979019689712396,-1.025880959300845,0.4641865291299174,0.054933317056793385,22.0,1771020579581512506,1771020579582862200
21,4,-0.9954426463972627,-1.0247304385988254,0.4193243202002028,0.09521774956510853,22.0,1771020579584011934,1771020579585192905
22,4,-0.9929840117999399,-1.023579917896806,0.47471541489913616,0.04394665364543471,22.0,1771020579586523499,1771020579587746484
23,4,-0.9905261405588486,-1.0224293971947862,0.501266518143253,0.07690664387951074,23.0,1771020579589024639,1771020579590254968
24,4,-0.988069218030343,-1.0212788764927667,0.4916531876583141,0.03295999023407603,22.0,1771020579591510686,1771020579592547285
25,4,-0.9856134323207524,-1.020128355790747,0.48158207953123533,-0.04028443250831515,22.0,1771020579594013525,1771020579595140781
26,4,-0.983158196586832,-1.0185943281880543,0.52552873317667,0.0,22.0,1771020579596523795,1771020579597910201
27,4,-0.9807040526375616,-1.0174438074860346,0.5076754051332122,-0.17212439344461927,23.0,1771020579599013074,1771020579600237624
28,4,-0.9782512128181396,-1.0159097798833419,0.5612353892635891,-0.19409772026733663,23.0,1771020579601511695,1771020579602660655
29,4,-0.9757994135560308,-1.014375752280649,0.6399731437116596,-0.2233954893642931,22.0,1771020579604023781,1771020579605405396
30,4,-0.9733481928156316,-1.0128417246779562,0.6102175969725632,-0.27466658528398025,22.0,1771020579606512638,1771020579607845146
31,4,-0.970898754937375,-1.0109241901745902,0.6912442396313367,-0.3698843348490888,22.0,1771020579609024620,1771020579610407123
32,4,-0.9684500811966734,-1.0093901625718973,0.7315286721396519,-0.41016876735740393,22.0,1771020579611513096,1771020579612665134
33,4,-0.9660028343789471,-1.007089121167858,0.7786797692800695,-0.46143986327707776,22.0,1771020579614025115,1771020579615407647
34,4,-0.9635564581344677,-1.005555093565164,0.7910397656178481,-0.47975096896267555,23.0,1771020579616513567,1771020579617886400
35,4,-0.9611116253063365,-1.0032540521611248,0.7882930997650084,-0.44312875759147996,22.0,1771020579619012547,1771020579620263064
36,4,-0.958668338973484,-1.0009530107570856,0.8876308481093798,-0.3222754600665345,22.0,1771020579621512764,1771020579622847109
37,4,-0.9562264450551123,-0.9986519693530463,0.9045686208685577,-0.24903103732414333,22.0,1771020579624024196,1771020579625403534
38,4,-0.9537856141747837,-0.9963509279490071,0.9645374919888905,-0.29297769096957804,22.0,1771020579626512895,1771020579627667453
39,4,-0.951346323508883,-0.994049886544968,0.9741508224738293,-0.2526932584612629,22.0,1771020579629024961,1771020579630403174
40,4,-0.9489083687424222,-0.9913653382402555,1.0327463606677456,-0.260017700735502,23.0,1771020579631512926,1771020579632864133
41,4,-0.9464723108783609,-0.9890642968362163,0.9242530594805753,-0.2343821527756651,22.0,1771020579634012293,1771020579635234260
42,4,-0.944037371890236,-0.986763255432177,0.9956663716544067,-0.4651020844141973,22.0,1771020579636512381,1771020579637665053
