cycle_idx,motor_id,commanded_position_rad,actual_position_rad,motor_velocity_rads,motor_torque_nm,motor_temperature_c,commanded_timestamp_ns,feedback_timestamp_ns
0,5,2.822155496896419e-06,-0.005752603510098033,-0.05371257667775353,0.22672200689718425,22.0,1771019182792968464,1771019182794371763
1,5,0.0009427136299922651,-0.005752603510098033,0.08996856593523717,0.21893978698080518,22.0,1771019182795454926,1771019182796868903
2,5,0.001885171447760025,-0.005752603510098033,-0.03759880367442747,0.21945860164189712,22.0,1771019182797965448,1771019182799374814
3,5,0.002827651462100827,-0.005752603510098033,0.1503952146977099,0.245399334696494,22.0,1771019182800453475,1771019182801660879
4,5,0.0037700060684362244,-0.005752603510098033,0.08728293710134949,0.2303537095248278,22.0,1771019182802948617,1771019182804025485
5,5,0.0047122867100037125,-0.005752603510098033,0.04834131900997818,0.26148258919034406,22.0,1771019182805463434,1771019182806919997
6,5,0.005654561776692489,-0.005752603510098033,-0.029541917172764443,0.25421918393505694,22.0,1771019182807951999,1771019182809169413
7,5,0.006596684821791215,-0.00536909660942483,0.010742515335550706,0.2760093997009183,22.0,1771019182810453966,1771019182811821301
8,5,0.007538770204552325,-0.004985589708751628,0.13562425611132767,0.2661519211401715,22.0,1771019182812963587,1771019182814243966
9,5,0.00848074949740471,-0.004985589708751628,0.14233832819604686,0.28482924893948125,22.0,1771019182815451446,1771019182816828707
10,5,0.009422598377313848,-0.004602082808078426,0.29676198614459803,0.2770470290231022,22.0,1771019182817965037,1771019182819294926
11,5,0.010364291017329084,-0.0038350690067320216,0.21082186346019238,0.2495498519852295,22.0,1771019182820455918,1771019182821854464
12,5,0.01130578917653246,-0.0030680552053856175,0.25513473921933905,0.2386547441022988,22.0,1771019182822964467,1771019182824226405
13,5,0.01224720787084416,-0.002301041404039213,0.2819910275582158,0.14993743705557372,22.0,1771019182825451835,1771019182826808911
14,5,0.013188289734982084,-0.0015340276026928087,0.29676198614459803,0.15201269569994147,22.0,1771019182827965387,1771019182829176247
15,5,0.014129212657110745,-0.0003835069006732022,0.3034760582293172,0.10946989349040259,22.0,1771019182830463687,1771019182831904466
16,5,0.01506992409798328,0.0003835069006732022,0.2712485122226651,0.18314157536545772,22.0,1771019182832951844,1771019182834141510
17,5,0.01601047311577312,0.0015340276026928087,0.45789971617785863,0.1966307565538481,22.0,1771019182835465963,1771019182836708836
18,5,0.016950677057408176,0.0019175345033660108,0.2564775536362829,0.22827845088046006,22.0,1771019182837965316,1771019182839293413
19,5,0.017890703837142873,0.0030680552053856175,0.28333384197515965,0.2713400677510909,22.0,1771019182840453160,1771019182841849909
20,5,0.018830450940532286,0.0034515621060588193,0.29810480056154187,0.2692648091067231,22.0,1771019182842964848,1771019182844300058
21,5,0.01976982272408008,0.0042185759074052235,0.2913907284768227,0.2578508865627005,22.0,1771019182845453622,1771019182846865600
22,5,0.02070894525494469,0.004985589708751628,0.20545060579241703,0.26667073580126344,22.0,1771019182847965389,1771019182849403484
23,5,0.021647736035065108,0.005752603510098033,0.34241767632068854,0.26148258919034406,22.0,1771019182850453246,1771019182851824197
24,5,0.022586186232632262,0.006519617311444437,0.3759880367442845,0.19766838587603197,22.0,1771019182852964283,1771019182854293712
25,5,0.023524313272550147,0.007670138013464043,0.35316019165623924,0.18625446333200935,22.0,1771019182855453286,1771019182856857445
26,5,0.024462158912115152,0.00882065871548365,0.471327860347297,0.1483809930722979,22.0,1771019182857965426,1771019182859290776
27,5,0.025399493038012613,0.01035468631817646,0.5451826532792179,0.0944242683187364,22.0,1771019182860453711,1771019182861703581
28,5,0.02633641902133959,0.011505207020196065,0.4646137882625778,0.0778221991637944,22.0,1771019182862965456,1771019182864307175
29,5,0.027273085740186172,0.013039234622888874,0.6364940336313989,0.10220648823511547,22.0,1771019182865454179,1771019182866854420
30,5,0.02820923595582278,0.01418975532490848,0.5559251686147686,0.08767967772454122,22.0,1771019182867964680,1771019182869308317
31,5,0.029144953031029812,0.015340276026928086,0.33973204748680086,0.0985747856074719,22.0,1771019182870454007,1771019182871851703
32,5,0.03008020831991151,0.016490796728947692,0.6660359508041633,0.11777092806787359,22.0,1771019182872964320,1771019182874227857
33,5,0.031015061810944284,0.0176413174309673,0.4189580980864873,0.09701834162419609,22.0,1771019182875451824,1771019182876808744
34,5,0.03194936373598943,0.018791838132986904,0.40955839716788045,0.0373546555986195,22.0,1771019182877964648,1771019182879293968
35,5,0.03288314834723036,0.020325865735679714,0.47267067476424085,0.06070131534775669,22.0,1771019182880453514,1771019182881849599
36,5,0.03381645951254674,0.02147638643769932,0.4283577990050942,0.06796472060304759,22.0,1771019182882964804,1771019182884350321
37,5,0.03474934731529936,0.02262690713971893,0.5962096011230837,0.07003997924741534,22.0,1771019182885453694,1771019182886628345
38,5,0.03568159439414097,0.023393920941065332,0.31824701681569945,0.11258278145695422,22.0,1771019182887964942,1771019182889294000
39,5,0.036613367260216315,0.024160934742411735,0.3021332438123734,0.12814722128971234,22.0,1771019182890458718,1771019182891668169
40,5,0.03754449874307879,0.02492794854375814,0.25513473921933905,0.1758781701101706,22.0,1771019182892954494,1771019182894113710
41,5,0.038475076581915145,0.025694962345104544,0.3733024079103968,0.17639698477126253,22.0,1771019182895464421,1771019182896912183
42,5,0.03940507001943083,0.02646197614645095,0.2913907284768227,0.18469801934873353,22.0,1771019182897951335,1771019182899112350
43,5,0.040334460236364236,0.027228989947797353,0.2323068941312938,0.11154515213477034,22.0,1771019182900463536,1771019182901876407
44,5,0.04126326037186155,0.02837951064981696,0.2994476149784857,0.1649830622272399,22.0,1771019182902952789,1771019182904084817
45,5,0.042191387379843806,0.029146524451163364,0.12353892635883312,0.16290780358287216,22.0,1771019182905465105,1771019182906874709
46,5,0.043118860400868576,0.02991353825250977,0.4928128910183984,0.1592761009552286,22.0,1771019182907954378,1771019182909149529
47,5,0.044045639198684525,0.031064058954529374,0.36121707815790227,0.13126010925626397,22.0,1771019182910464943,1771019182911884231
48,5,0.0449717180614127,0.03183107275587578,0.27930539872432814,0.12555314798425266,22.0,1771019182912953643,1771019182914042225
49,5,0.045897172305544756,0.032981593457895385,0.4068727683339928,0.14111758781701078,22.0,1771019182915463328,1771019182916868038
50,5,0.04682188803928829,0.03374860725924179,0.31824701681569945,0.15149388103884953,22.0,1771019182917964342,1771019182919299468
51,5,0.047745936418448195,0.0345156210605882,0.4082155827509366,0.14630573442793016,22.0,1771019182920453815,1771019182921835300
52,5,0.0486691952684748,0.0352826348619346,0.4176152836695435,0.1525315103610334,22.0,1771019182922965541,1771019182924176730
53,5,0.04959167445448944,0.036433155563954205,0.39613025299844207,0.11310159611804615,22.0,1771019182925463848,1771019182926879372
54,5,0.05051347665390197,0.03758367626597381,0.3491317484054077,0.12244026001770103,22.0,1771019182927953813,1771019182929149380
55,5,0.05143443019418753,0.03873419696799342,0.4498428296761956,0.06848353526413953,22.0,1771019182930463897,1771019182931946313
56,5,0.052354682566132224,0.03950121076933982,0.3665883358256776,0.06848353526413953,22.0,1771019182932952521,1771019182934140533
57,5,0.05327398003550331,0.04065173147135943,0.23096407971434996,0.15616321298867697,22.0,1771019182935465124,1771019182936713871
58,5,0.05419251632137318,0.04141874527270584,0.1866512039552033,0.2521439252906892,22.0,1771019182937964633,1771019182939293098
59,5,0.055110277094852854,0.04180225217337904,0.25110629596850753,0.29520554216132,22.0,1771019182940454004,1771019182941844434
60,5,0.05602710140469388,0.04218575907405224,0.31556138798181177,0.3387859736930465,22.0,1771019182942953447,1771019182944143406
61,5,0.05694306178681017,0.04256926597472544,0.20007934812464168,0.34604937894833365,22.0,1771019182945463791,1771019182946910330
62,5,0.05785824363612092,0.04295277287539864,0.08325449385051797,0.3133640552995378,22.0,1771019182947952467,1771019182949059078
63,5,0.05877248341583551,0.043336279776071844,0.22022156437879925,0.34449293496505784,22.0,1771019182950465400,1771019182951912294
64,5,0.059685852256319095,0.043719786676745045,0.15845210119937292,0.3330790124210352,22.0,1771019182952953915,1771019182954154013
