t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056584518,0.034888468,-0.310851000,-0.056584518,0.034888271,1.965331149e-07,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056584518,0.034889640,-0.310851000,-0.056584518,0.034888271,1.368298467e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056584518,0.034892527,-0.310851000,-0.056584518,0.034888271,4.256031849e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056584518,0.034897789,-0.310851000,-0.056584518,0.034888271,9.517199878e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.012500,-0.000420000,-0.056584518,0.034906031,-0.310851000,-0.056584518,0.034888271,1.775989503e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.015000,-0.000420000,-0.056584518,0.034917827,-0.310851000,-0.056584518,0.034888271,2.955549933e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.017500,-0.000420000,-0.056584518,0.034933716,-0.310851000,-0.056584518,0.034888271,4.544508360e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.020000,-0.000420000,-0.056584518,0.034954214,-0.310851000,-0.056584518,0.034888271,6.594305210e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.022500,-0.000420000,-0.056584518,0.034979811,-0.310851000,-0.056584518,0.034888271,9.153934167e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.025000,-0.000420000,-0.056584518,0.035010972,-0.310851000,-0.056584518,0.034888271,5.268598334e-05,0.000000000e+00,1,1,0.300329409,-0.000000073,0.000000214,-0.800672665,0.500272236,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.027500,-0.000420000,-0.056584518,0.035048143,-0.310851000,-0.056584518,0.034888271,8.985641285e-05,0.000000000e+00,1,1,0.300329409,-0.000000073,0.000000214,-0.800672665,0.500272236,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.030000,-0.000420000,-0.056584518,0.035091747,-0.310851000,-0.056584518,0.034888271,5.734108673e-05,0.000000000e+00,1,1,0.300687771,-0.000000155,0.000000445,-0.801403523,0.500567856,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.032500,-0.000420000,-0.056584518,0.035142184,-0.310851000,-0.056584518,0.034888271,4.636103749e-05,0.000000000e+00,1,1,0.300977056,-0.000000223,0.000000631,-0.801992866,0.500806064,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.035000,-0.000420000,-0.056584518,0.035199834,-0.310851000,-0.056584518,0.034888271,4.477640203e-05,0.000000000e+00,1,1,0.301255913,-0.000000289,0.000000810,-0.802560918,0.501035482,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.037500,-0.000420000,-0.056584518,0.035265057,-0.310851000,-0.056584518,0.034888271,4.737578303e-05,0.000000000e+00,1,1,0.301550481,-0.000000359,0.000001000,-0.803161071,0.501277660,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.040000,-0.000420000,-0.056584518,0.035338187,-0.310851000,-0.056584518,0.034888271,5.191565510e-05,0.000000000e+00,1,1,0.301872862,-0.000000435,0.000001207,-0.803817969,0.501542501,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.042500,-0.000420000,-0.056584518,0.035419540,-0.310851000,-0.056584518,0.034888271,5.742458780e-05,0.000000000e+00,1,1,0.302229055,-0.000000519,0.000001437,-0.804543801,0.501834860,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.045000,-0.000420000,-0.056584518,0.035509410,-0.310851000,-0.056584518,0.034888271,6.347645640e-05,0.000000000e+00,1,1,0.302622372,-0.000000612,0.000001690,-0.805345281,0.502157359,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.047500,-0.000420000,-0.056584518,0.035608066,-0.310851000,-0.056584518,0.034888271,6.987882156e-05,0.000000000e+00,1,1,0.303054900,-0.000000714,0.000001969,-0.806226642,0.502511600,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.050000,-0.000420000,-0.056584518,0.035715757,-0.310851000,-0.056584518,0.034888271,7.653931155e-05,0.000000000e+00,1,1,0.303528133,-0.000000827,0.000002273,-0.807190910,0.502898684,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.052500,-0.000420000,-0.056584518,0.035832709,-0.310851000,-0.056584518,0.034888271,8.340833467e-05,0.000000000e+00,1,1,0.304043242,-0.000000950,0.000002605,-0.808240455,0.503319429,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
