t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056584518,0.034888418,-0.310851000,-0.056584518,0.034888271,1.468309893e-07,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056584518,0.034889293,-0.310851000,-0.056584518,0.034888271,1.022079548e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056584518,0.034891449,-0.310851000,-0.056584518,0.034888271,3.178179915e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056584518,0.034895375,-0.310851000,-0.056584518,0.034888271,7.103958011e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.012500,-0.000420000,-0.056584518,0.034901521,-0.310851000,-0.056584518,0.034888271,1.324942233e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.015000,-0.000420000,-0.056584518,0.034910306,-0.310851000,-0.056584518,0.034888271,2.203473774e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.017500,-0.000420000,-0.056584518,0.034922126,-0.310851000,-0.056584518,0.034888271,3.385455457e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.020000,-0.000420000,-0.056584518,0.034937352,-0.310851000,-0.056584518,0.034888271,4.908031107e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.022500,-0.000420000,-0.056584518,0.034956333,-0.310851000,-0.056584518,0.034888271,6.806148502e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.025000,-0.000420000,-0.056584518,0.034979398,-0.310851000,-0.056584518,0.034888271,9.112624380e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.027500,-0.000420000,-0.056584518,0.035006853,-0.310851000,-0.056584518,0.034888271,5.091824221e-05,0.000000000e+00,1,1,0.300318351,-0.000000071,0.000000206,-0.800650084,0.500263097,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.030000,-0.000420000,-0.056584518,0.035038985,-0.310851000,-0.056584518,0.034888271,8.304999188e-05,0.000000000e+00,1,1,0.300318351,-0.000000071,0.000000206,-0.800650084,0.500263097,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.032500,-0.000420000,-0.056584518,0.035076060,-0.310851000,-0.056584518,0.034888271,5.161756875e-05,0.000000000e+00,1,1,0.300640931,-0.000000145,0.000000414,-0.801307905,0.500529190,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.035000,-0.000420000,-0.056584518,0.035118320,-0.310851000,-0.056584518,0.034888271,9.387632652e-05,0.000000000e+00,1,1,0.300640931,-0.000000145,0.000000414,-0.801307905,0.500529190,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.037500,-0.000420000,-0.056584518,0.035165988,-0.310851000,-0.056584518,0.034888271,6.084380072e-05,0.000000000e+00,1,1,0.301020756,-0.000000233,0.000000659,-0.802082241,0.500842155,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.040000,-0.000420000,-0.056584518,0.035219266,-0.310851000,-0.056584518,0.034888271,4.911964732e-05,0.000000000e+00,1,1,0.301326763,-0.000000305,0.000000856,-0.802705522,0.501093856,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.042500,-0.000420000,-0.056584518,0.035278330,-0.310851000,-0.056584518,0.034888271,4.660562819e-05,0.000000000e+00,1,1,0.301616474,-0.000000374,0.000001042,-0.803295599,0.501331938,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.045000,-0.000420000,-0.056584518,0.035343338,-0.310851000,-0.056584518,0.034888271,4.810848476e-05,0.000000000e+00,1,1,0.301915002,-0.000000445,0.000001234,-0.803903741,0.501577089,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.047500,-0.000420000,-0.056584518,0.035414424,-0.310851000,-0.056584518,0.034888271,5.139241530e-05,0.000000000e+00,1,1,0.302233466,-0.000000521,0.000001439,-0.804552583,0.501838411,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.050000,-0.000420000,-0.056584518,0.035491698,-0.310851000,-0.056584518,0.034888271,5.548906957e-05,0.000000000e+00,1,1,0.302576911,-0.000000602,0.000001661,-0.805252360,0.502119982,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.052500,-0.000420000,-0.056584518,0.035575247,-0.310851000,-0.056584518,0.034888271,5.997334588e-05,0.000000000e+00,1,1,0.302947702,-0.000000690,0.000001899,-0.806007860,0.502423671,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.055000,-0.000420000,-0.056584518,0.035665137,-0.310851000,-0.056584518,0.034888271,6.465295110e-05,0.000000000e+00,1,1,0.303346988,-0.000000785,0.000002156,-0.806821404,0.502750340,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.057500,-0.000420000,-0.056584518,0.035761409,-0.310851000,-0.056584518,0.034888271,6.943533125e-05,0.000000000e+00,1,1,0.303775329,-0.000000887,0.000002432,-0.807694119,0.503100363,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.060000,-0.000420000,-0.056584518,0.035864081,-0.310851000,-0.056584518,0.034888271,7.427064670e-05,0.000000000e+00,1,1,0.304232968,-0.000000996,0.000002727,-0.808626488,0.503473847,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.062500,-0.000420000,-0.056584518,0.035973147,-0.310851000,-0.056584518,0.034888271,7.912735042e-05,0.000000000e+00,1,1,0.304719944,-0.000001113,0.000003040,-0.809618583,0.503870727,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.065000,-0.000420000,-0.056584518,0.036088579,-0.310851000,-0.056584518,0.034888271,8.398174375e-05,0.000000000e+00,1,1,0.305236146,-0.000001237,0.000003373,-0.810670168,0.504290808,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.067500,-0.000420000,-0.056584518,0.036210324,-0.310851000,-0.056584518,0.034888271,8.881352473e-05,0.000000000e+00,1,1,0.305781331,-0.000001369,0.000003724,-0.811780742,0.504733785,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
