t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056584518,0.034888554,-0.310851000,-0.056584518,0.034888271,2.831089737e-07,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056584518,0.034890243,-0.310851000,-0.056584518,0.034888271,1.971247598e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056584518,0.034894404,-0.310851000,-0.056584518,0.034888271,6.132477289e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056584518,0.034901988,-0.310851000,-0.056584518,0.034888271,1.371637447e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.012500,-0.000420000,-0.056584518,0.034913875,-0.310851000,-0.056584518,0.034888271,2.560341796e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.015000,-0.000420000,-0.056584518,0.034930895,-0.310851000,-0.056584518,0.034888271,4.262374807e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.017500,-0.000420000,-0.056584518,0.034953838,-0.310851000,-0.056584518,0.034888271,6.556686804e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.020000,-0.000420000,-0.056584518,0.034983459,-0.310851000,-0.056584518,0.034888271,9.518734893e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.022500,-0.000420000,-0.056584518,0.035020480,-0.310851000,-0.056584518,0.034888271,5.676606466e-05,0.000000000e+00,1,1,0.300354934,-0.000000079,0.000000230,-0.800724788,0.500293331,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.025000,-0.000420000,-0.056584518,0.035065596,-0.310851000,-0.056584518,0.034888271,4.379293309e-05,0.000000000e+00,1,1,0.300628579,-0.000000142,0.000000406,-0.801282584,0.500518965,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.027500,-0.000420000,-0.056584518,0.035119473,-0.310851000,-0.056584518,0.034888271,9.766876353e-05,0.000000000e+00,1,1,0.300628579,-0.000000142,0.000000406,-0.801282584,0.500518965,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.030000,-0.000420000,-0.056584518,0.035182753,-0.310851000,-0.056584518,0.034888271,6.916572462e-05,0.000000000e+00,1,1,0.301060403,-0.000000242,0.000000685,-0.802163192,0.500874867,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.032500,-0.000420000,-0.056584518,0.035256050,-0.310851000,-0.056584518,0.034888271,6.128244284e-05,0.000000000e+00,1,1,0.301442357,-0.000000332,0.000000931,-0.802941443,0.501189087,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.035000,-0.000420000,-0.056584518,0.035339954,-0.310851000,-0.056584518,0.034888271,6.249058724e-05,0.000000000e+00,1,1,0.301831141,-0.000000424,0.000001181,-0.803733555,0.501508560,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.037500,-0.000420000,-0.056584518,0.035435029,-0.310851000,-0.056584518,0.034888271,6.783971166e-05,0.000000000e+00,1,1,0.302252565,-0.000000523,0.000001452,-0.804592243,0.501854489,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.040000,-0.000420000,-0.056584518,0.035541815,-0.310851000,-0.056584518,0.034888271,7.519690101e-05,0.000000000e+00,1,1,0.302719083,-0.000000633,0.000001753,-0.805542868,0.502236988,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.042500,-0.000420000,-0.056584518,0.035660827,-0.310851000,-0.056584518,0.034888271,8.363674305e-05,0.000000000e+00,1,1,0.303237328,-0.000000756,0.000002087,-0.806598902,0.502661332,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
