t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056576664,0.034888402,-0.310851000,-0.056592371,0.034888271,7.854609408e-06,7.853516548e-06,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056553109,0.034889184,-0.310851000,-0.056615926,0.034888271,3.142172930e-05,3.140848556e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056513870,0.034891109,-0.310851000,-0.056655166,0.034888271,7.070512172e-05,7.064816810e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056458973,0.034894616,-0.310851000,-0.056710062,0.034888271,3.196627699e-05,3.176535963e-05,1,1,0.300201475,-0.000000045,0.000000130,-0.800064710,0.500065408,0.299818518,-0.000000041,-0.000000117,-0.799976235,0.499951150
0.012500,-0.000420000,-0.056388459,0.034900111,-0.310851000,-0.056780577,0.034888271,2.623605395e-05,2.590685336e-05,1,1,0.300376682,-0.000000086,0.000000243,-0.800140006,0.500127832,0.299667083,-0.000000077,-0.000000215,-0.799949454,0.499908362
0.015000,-0.000420000,-0.056302377,0.034907975,-0.310851000,-0.056866659,0.034888271,2.886543464e-05,2.836994088e-05,1,1,0.300575101,-0.000000132,0.000000371,-0.800235906,0.500201623,0.299501083,-0.000000115,-0.000000322,-0.799919692,0.499861340
0.017500,-0.000420000,-0.056200788,0.034918568,-0.310851000,-0.056968247,0.034888271,3.363965950e-05,3.292514433e-05,1,1,0.300811325,-0.000000187,0.000000523,-0.800359363,0.500292173,0.299308598,-0.000000160,-0.000000446,-0.799885451,0.499806895
0.020000,-0.000420000,-0.056083766,0.034932233,-0.310851000,-0.057085270,0.034888271,3.898389776e-05,3.799416737e-05,1,1,0.301090428,-0.000000252,0.000000703,-0.800515142,0.500402038,0.299086460,-0.000000212,-0.000000589,-0.799845830,0.499744032
0.022500,-0.000420000,-0.055951392,0.034949298,-0.310851000,-0.057217643,0.034888271,4.449561945e-05,4.317420232e-05,1,1,0.301414795,-0.000000327,0.000000912,-0.800706903,0.500532828,0.298833879,-0.000000271,-0.000000751,-0.799800396,0.499672443
0.025000,-0.000420000,-0.055803762,0.034970072,-0.310851000,-0.057365273,0.034888271,5.007009667e-05,4.836021138e-05,1,1,0.301785984,-0.000000413,0.000001152,-0.800937765,0.500685800,0.298550732,-0.000000337,-0.000000933,-0.799748932,0.499592036
0.027500,-0.000420000,-0.055640981,0.034994853,-0.310851000,-0.057528055,0.034888271,5.567848713e-05,5.352273027e-05,1,1,0.302205249,-0.000000511,0.000001422,-0.801210543,0.500862048,0.298237092,-0.000000410,-0.000001135,-0.799691308,0.499502790
0.030000,-0.000420000,-0.055463164,0.035023922,-0.310851000,-0.057705871,0.034888271,6.131123414e-05,5.865153198e-05,1,1,0.302673689,-0.000000620,0.000001724,-0.801527835,0.501062563,0.297893102,-0.000000490,-0.000001357,-0.799627420,0.499404708
