t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056582162,0.034888300,-0.310851000,-0.056586874,0.034888271,2.356267683e-06,2.356097597e-06,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056575094,0.034888468,-0.310851000,-0.056593941,0.034888271,9.425289327e-06,9.423227723e-06,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056563320,0.034888885,-0.310851000,-0.056605716,0.034888271,2.120677148e-05,2.119790282e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056546843,0.034889643,-0.310851000,-0.056622192,0.034888271,3.769927257e-05,3.767431172e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.012500,-0.000420000,-0.056525673,0.034890832,-0.310851000,-0.056643362,0.034888271,5.889999625e-05,5.884432180e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.015000,-0.000420000,-0.056499820,0.034892534,-0.310851000,-0.056669215,0.034888271,8.480466552e-05,8.469748199e-05,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.017500,-0.000420000,-0.056469297,0.034894828,-0.310851000,-0.056699739,0.034888271,4.634292939e-05,4.620989263e-05,1,1,0.300153231,-0.000000035,0.000000099,-0.800057716,0.500052224,0.299864372,-0.000000031,-0.000000087,-0.799978228,0.499962323
0.020000,-0.000420000,-0.056434118,0.034897790,-0.310851000,-0.056734918,0.034888271,8.164410899e-05,8.138798735e-05,1,1,0.300153231,-0.000000035,0.000000099,-0.800057716,0.500052224,0.299864372,-0.000000031,-0.000000087,-0.799978228,0.499962323
0.022500,-0.000420000,-0.056394301,0.034901492,-0.310851000,-0.056774734,0.034888271,4.887645858e-05,4.861405172e-05,1,1,0.300322364,-0.000000075,0.000000208,-0.800134604,0.500113710,0.299720603,-0.000000065,-0.000000180,-0.799953077,0.499921780
0.025000,-0.000420000,-0.056349866,0.034906004,-0.310851000,-0.056819169,0.034888271,9.353956970e-05,9.304730592e-05,1,1,0.300322364,-0.000000075,0.000000208,-0.800134604,0.500113710,0.299720603,-0.000000065,-0.000000180,-0.799953077,0.499921780
0.027500,-0.000420000,-0.056300835,0.034911392,-0.310851000,-0.056868201,0.034888271,5.744913175e-05,5.698861849e-05,1,1,0.300528574,-0.000000123,0.000000341,-0.800240929,0.500192339,0.299551699,-0.000000104,-0.000000289,-0.799922817,0.499873942
0.030000,-0.000420000,-0.056247231,0.034917719,-0.310851000,-0.056921804,0.034888271,4.483456440e-05,4.436329473e-05,1,1,0.300693693,-0.000000161,0.000000447,-0.800333034,0.500257325,0.299419424,-0.000000135,-0.000000374,-0.799897608,0.499836038
0.032500,-0.000420000,-0.056189082,0.034925049,-0.310851000,-0.056979953,0.034888271,4.164371203e-05,4.112377637e-05,1,1,0.300849960,-0.000000198,0.000000547,-0.800424950,0.500320207,0.299296755,-0.000000164,-0.000000453,-0.799874110,0.499800852
0.035000,-0.000420000,-0.056126417,0.034933440,-0.310851000,-0.057042618,0.034888271,4.223419202e-05,4.163710989e-05,1,1,0.301010764,-0.000000236,0.000000651,-0.800523294,0.500386005,0.299172676,-0.000000193,-0.000000532,-0.799850553,0.499765323
0.037500,-0.000420000,-0.056059266,0.034942947,-0.310851000,-0.057109770,0.034888271,4.433914737e-05,4.364341625e-05,1,1,0.301181739,-0.000000276,0.000000761,-0.800631317,0.500456966,0.299042713,-0.000000224,-0.000000616,-0.799826048,0.499728158
0.040000,-0.000420000,-0.055987662,0.034953626,-0.310851000,-0.057181373,0.034888271,4.704685047e-05,4.623538970e-05,1,1,0.301365313,-0.000000319,0.000000879,-0.800750737,0.500534151,0.298905069,-0.000000256,-0.000000705,-0.799800157,0.499688815
0.042500,-0.000420000,-0.055911641,0.034965527,-0.310851000,-0.057257394,0.034888271,4.998990641e-05,4.904820126e-05,1,1,0.301562587,-0.000000365,0.000001006,-0.800882576,0.500618108,0.298759047,-0.000000290,-0.000000799,-0.799772669,0.499647071
0.045000,-0.000420000,-0.055831242,0.034978700,-0.310851000,-0.057337794,0.034888271,5.301968236e-05,5.193461262e-05,1,1,0.301774100,-0.000000415,0.000001142,-0.801027526,0.500709160,0.298604398,-0.000000326,-0.000000898,-0.799743484,0.499602840
0.047500,-0.000420000,-0.055746503,0.034993191,-0.310851000,-0.057422533,0.034888271,5.607549605e-05,5.483467165e-05,1,1,0.302000152,-0.000000468,0.000001288,-0.801186119,0.500807529,0.298441062,-0.000000365,-0.000001003,-0.799712553,0.499556093
