t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,0.282994026,-0.161689111,0.150653993,-0.594265026,-0.161689111,0.150653993,0.000000000e+00,0.000000000e+00,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.002500,0.282995204,-0.161689111,0.150653997,-0.594266204,-0.161689111,0.150653993,1.178087410e-06,1.178079804e-06,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.005000,0.282998738,-0.161689111,0.150654022,-0.594269738,-0.161689111,0.150653993,4.712202144e-06,4.712109929e-06,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.007500,0.283004628,-0.161689111,0.150654084,-0.594275628,-0.161689111,0.150653993,1.060185941e-05,1.060146254e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.010000,0.283012871,-0.161689111,0.150654198,-0.594283871,-0.161689111,0.150653993,1.884620898e-05,1.884509133e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.012500,0.283023468,-0.161689111,0.150654376,-0.594294468,-0.161689111,0.150653993,2.944402642e-05,2.944153169e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.015000,0.283036415,-0.161689111,0.150654631,-0.594307415,-0.161689111,0.150653993,4.239370799e-05,4.238890086e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.017500,0.283051711,-0.161689111,0.150654975,-0.594322711,-0.161689111,0.150653993,5.769326713e-05,5.768489821e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.020000,0.283069353,-0.161689111,0.150655420,-0.594340353,-0.161689111,0.150653993,7.534033193e-05,7.532680553e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.022500,0.283089338,-0.161689111,0.150655977,-0.594360338,-0.161689111,0.150653993,9.533214307e-05,9.531148741e-05,1,1,0.000000000,-0.566834000,0.000000000,-0.500000000,0.000000000,0.000000000,0.566834000,0.000000000,-0.500000000,0.000000000
0.025000,0.283111662,-0.161689111,0.150656657,-0.594382662,-0.161689111,0.150653993,4.915742781e-05,4.928858870e-05,1,1,-0.000270107,-0.566910676,-0.000013943,-0.499517260,0.000000000,-0.000279602,0.566907923,-0.000013010,-0.499500228,0.000000000
0.027500,0.283136321,-0.161689111,0.150657470,-0.594407321,-0.161689111,0.150653993,7.378284028e-05,7.391039814e-05,1,1,-0.000270107,-0.566910676,-0.000013943,-0.499517260,0.000000000,-0.000279602,0.566907923,-0.000013010,-0.499500228,0.000000000
0.030000,0.283163311,-0.161689111,0.150658426,-0.594434311,-0.161689111,0.150653993,4.225423406e-05,4.246818354e-05,1,1,-0.000513277,-0.566973469,-0.000024850,-0.499085638,0.000000000,-0.000533555,0.566967707,-0.000022886,-0.499049375,0.000000000
0.032500,0.283192627,-0.161689111,0.150659536,-0.594463627,-0.161689111,0.150653993,7.148903104e-05,7.169360273e-05,1,1,-0.000513277,-0.566973469,-0.000024850,-0.499085638,0.000000000,-0.000533555,0.566967707,-0.000022886,-0.499049375,0.000000000
0.035000,0.283224264,-0.161689111,0.150660809,-0.594495264,-0.161689111,0.150653993,4.325792474e-05,4.354397258e-05,1,1,-0.000763840,-0.567037402,-0.000035871,-0.498641750,0.000000000,-0.000797705,0.567027881,-0.000032620,-0.498581288,0.000000000
0.037500,0.283258216,-0.161689111,0.150662256,-0.594529216,-0.161689111,0.150653993,7.711212938e-05,7.737673174e-05,1,1,-0.000763840,-0.567037402,-0.000035871,-0.498641750,0.000000000,-0.000797705,0.567027881,-0.000032620,-0.498581288,0.000000000
0.040000,0.283294478,-0.161689111,0.150663884,-0.594565478,-0.161689111,0.150653993,4.753376620e-05,4.789795332e-05,1,1,-0.001037623,-0.567108257,-0.000048156,-0.498156898,0.000000000,-0.001088879,0.567093939,-0.000043261,-0.498065473,0.000000000
0.042500,0.283333042,-0.161689111,0.150665704,-0.594604042,-0.161689111,0.150653993,8.599774197e-05,8.632587719e-05,1,1,-0.001037623,-0.567108257,-0.000048156,-0.498156898,0.000000000,-0.001088879,0.567093939,-0.000043261,-0.498065473,0.000000000
0.045000,0.283373902,-0.161689111,0.150667724,-0.594644902,-0.161689111,0.150653993,5.315997432e-05,5.361409664e-05,1,1,-0.001341751,-0.567188260,-0.000062119,-0.497618379,0.000000000,-0.001414946,0.567167908,-0.000055155,-0.497487910,0.000000000
0.047500,0.283417050,-0.161689111,0.150669952,-0.594688050,-0.161689111,0.150653993,9.620941499e-05,9.661083086e-05,1,1,-0.001341751,-0.567188260,-0.000062119,-0.497618379,0.000000000,-0.001414946,0.567167908,-0.000055155,-0.497487910,0.000000000
0.050000,0.283462480,-0.161689111,0.150672398,-0.594733480,-0.161689111,0.150653993,5.932996401e-05,5.988668002e-05,1,1,-0.001679268,-0.567278278,-0.000077908,-0.497020875,0.000000000,-0.001779565,0.567250495,-0.000068395,-0.496842192,0.000000000
0.052500,0.283510182,-0.161689111,0.150675069,-0.594781182,-0.161689111,0.150653993,4.490137540e-05,4.544600498e-05,1,1,-0.001942138,-0.567344293,-0.000089118,-0.496557299,0.000000000,-0.002064810,0.567310546,-0.000077547,-0.496338974,0.000000000
0.055000,0.283560149,-0.161689111,0.150677973,-0.594831149,-0.161689111,0.150653993,9.473997500e-05,9.519809088e-05,1,1,-0.001942138,-0.567344293,-0.000089118,-0.496557299,0.000000000,-0.002064810,0.567310546,-0.000077547,-0.496338974,0.000000000
0.057500,0.283612371,-0.161689111,0.150681119,-0.594883371,-0.161689111,0.150653993,6.151217213e-05,6.215856145e-05,1,1,-0.002288460,-0.567438988,-0.000105869,-0.495944334,0.000000000,-0.002443441,0.567396414,-0.000091269,-0.495668553,0.000000000
0.060000,0.283666839,-0.161689111,0.150684514,-0.594937839,-0.161689111,0.150653993,4.861139168e-05,4.925627455e-05,1,1,-0.002569452,-0.567511781,-0.000118387,-0.495448735,0.000000000,-0.002751915,0.567461891,-0.000101263,-0.495124264,0.000000000
0.062500,0.283723543,-0.161689111,0.150688165,-0.594994543,-0.161689111,0.150653993,4.412200268e-05,4.473844962e-05,1,1,-0.002824316,-0.567577999,-0.000129772,-0.494999402,0.000000000,-0.003032919,0.567521176,-0.000110256,-0.494628640,0.000000000
0.065000,0.283782474,-0.161689111,0.150692080,-0.595053474,-0.161689111,0.150653993,4.314780547e-05,4.375076606e-05,1,1,-0.003071466,-0.567643459,-0.000141120,-0.494563462,0.000000000,-0.003306548,0.567579594,-0.000119175,-0.494145789,0.000000000
0.067500,0.283843620,-0.161689111,0.150696265,-0.595114620,-0.161689111,0.150653993,4.364893165e-05,4.425756125e-05,1,1,-0.003319514,-0.567710340,-0.000152798,-0.494125742,0.000000000,-0.003582235,0.567639108,-0.000128314,-0.493659081,0.000000000
0.070000,0.283906972,-0.161689111,0.150700727,-0.595177972,-0.161689111,0.150653993,4.476909245e-05,4.539776725e-05,1,1,-0.003572464,-0.567779443,-0.000164922,-0.493679274,0.000000000,-0.003864403,0.567700417,-0.000137754,-0.493160819,0.000000000
0.072500,0.283972516,-0.161689111,0.150705474,-0.595243516,-0.161689111,0.150653993,4.614738609e-05,4.680538069e-05,1,1,-0.003832160,-0.567851057,-0.000177525,-0.493220887,0.000000000,-0.004155118,0.567763758,-0.000147509,-0.492647443,0.000000000
0.075000,0.284040243,-0.161689111,0.150710510,-0.595311243,-0.161689111,0.150653993,4.763103984e-05,4.832404099e-05,1,1,-0.004099429,-0.567925280,-0.000190610,-0.492749176,0.000000000,-0.004455344,0.567829203,-0.000157571,-0.492117315,0.000000000
0.077500,0.284110139,-0.161689111,0.150715844,-0.595381139,-0.161689111,0.150653993,4.915500449e-05,4.988651617e-05,1,1,-0.004374626,-0.568002143,-0.000204176,-0.492263551,0.000000000,-0.004765524,0.567896761,-0.000167933,-0.491569689,0.000000000
0.080000,0.284182193,-0.161689111,0.150721480,-0.595453193,-0.161689111,0.150653993,5.069136047e-05,5.146365130e-05,1,1,-0.004657884,-0.568081653,-0.000218220,-0.491763803,0.000000000,-0.005085860,0.567966426,-0.000178587,-0.491004237,0.000000000
0.082500,0.284256390,-0.161689111,0.150727425,-0.595527390,-0.161689111,0.150653993,5.222798176e-05,5.304264985e-05,1,1,-0.004949231,-0.568163809,-0.000232738,-0.491249899,0.000000000,-0.005416442,0.568038184,-0.000189524,-0.490420823,0.000000000
0.085000,0.284332719,-0.161689111,0.150733683,-0.595603719,-0.161689111,0.150653993,5.375949650e-05,5.461778478e-05,1,1,-0.005248647,-0.568248607,-0.000247728,-0.490721887,0.000000000,-0.005757302,0.568112019,-0.000200738,-0.489819400,0.000000000
0.087500,0.284411165,-0.161689111,0.150740261,-0.595682165,-0.161689111,0.150653993,5.528343732e-05,5.618640291e-05,1,1,-0.005556090,-0.568336041,-0.000263187,-0.490179855,0.000000000,-0.006108451,0.568187916,-0.000212222,-0.489199967,0.000000000
0.090000,0.284491714,-0.161689111,0.150747163,-0.595762714,-0.161689111,0.150653993,5.679859304e-05,5.774719599e-05,1,1,-0.005871506,-0.568426105,-0.000279113,-0.489623905,0.000000000,-0.006469885,0.568265857,-0.000223971,-0.488562541,0.000000000
0.092500,0.284574352,-0.161689111,0.150754396,-0.595845352,-0.161689111,0.150653993,5.830429885e-05,5.929944810e-05,1,1,-0.006194840,-0.568518791,-0.000295502,-0.489054150,0.000000000,-0.006841595,0.568345828,-0.000235978,-0.487907152,0.000000000
